int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Soyo,329,168,2008,2008,2011,2012,50547618817,49288442728,211,2516,5793,5317,6681,419382
Luanda,757,465,2006,2006,2009,2009,41664935304,56441741105,1096,2092,2039,2257,6304,485910
Gimboa,39,39,2009,2009,2012,2012,23458846891,45009489532,5504,6206,7102,7106,1564,120792
Girassol,102,94,2008,2009,2009,2009,72922868039,139750853143,4686,5765,6850,6903,4431,343044
Dalia,79,76,2010,2010,2011,2011,57921236922,110294422208,6197,5702,6711,6747,3724,288188
Futila,85,73,2010,2010,2011,2011,66420220881,126633649695,7198,5847,6770,6813,3857,298712
Lobito,136,87,2003,2005,2008,2008,10640734245,18027109654,1344,2286,2664,2818,1074,82855
Malongo,265,29,2011,2008,2009,2009,196628447,194707339,150,573,399,408,176,13210
Noqui,281,47,1998,1999,2000,2001,696457055,988936920,77,1407,1288,1282,265,20115
Cabinda,81,52,2007,2008,2010,2010,32017541272,61306803538,322,4277,6814,6913,1834,142003
Takula Terminal,28,18,2010,2010,2013,2013,1096725713,1281957707,113,1425,4866,4755,117,9072
Sumbe,2,2,2004,2004,2005,2005,1258478,687776,1237,1237,1020,1016,1,84
Porto Do Ambriz,16,14,2006,2009,2009,2009,497087591,845133106,727,1612,4495,4952,49,3788
Namibe,80,36,1997,1997,1999,2000,1637500347,2090363139,1227,1574,1551,1538,395,30197
Amboim,8,8,2008,2008,2009,2009,35335034,30881223,2976,2557,2771,2601,20,1472
Greater Plutonio,29,28,2008,2008,2013,2013,17431943832,33397756944,5530,6092,6205,6199,1065,82410
Porto Alexandre,19,13,1991,1990,1987,1989,209362469,115119757,913,2082,4305,3148,67,5055
Palanca,7,7,2010,2010,2011,2011,5531359987,10586228605,7524,4956,8519,8559,321,24867
Baia Dos Tigres,6,5,1995,1997,1988,1988,26738120,33737456,860,970,1391,1425,26,1952
Kiame,3,3,1997,1997,2015,2016,1299872720,2457858081,7593,10824,7723,7654,99,7679
Saco,5,5,2003,2003,2011,2013,328380343,572710444,606,2578,5635,6092,30,2302
Dande,1,1,2020,2020,2020,2020,85609,85419,24,24,24,24,0,3
Benguela,2,1,1993,1993,1993,1993,3488429,5194386,708,708,708,708,1,82
